drwxr-xr-x         0:0     1.2 MB  ├── bin
-rwxr-xr-x         0:0     1.1 MB  │   ├── [
-rwxr-xr-x         0:0        0 B  │   ├── [[ → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── acpid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── add-shell → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── addgroup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── adduser → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── adjtimex → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ar → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── arch → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── arp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── arping → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ash → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── awk → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── base64 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── basename → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── beep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── blkdiscard → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── blkid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── blockdev → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── bootchartd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── brctl → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── bunzip2 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── busybox → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── bzcat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── bzip2 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cal → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chattr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chgrp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chmod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chown → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chpasswd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chpst → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chroot → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chrt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── chvt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cksum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── clear → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cmp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── comm → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── conspy → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cpio → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── crond → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── crontab → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cryptpw → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cttyhack → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── cut → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── date → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── deallocvt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── delgroup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── deluser → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── depmod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── devmem → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── df → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dhcprelay → bin/[
